Missed Bytes: 0, First Time: 5.64266562461853, Final Time: 5.64266562461853, RSSI Avg: -55.744360902255636, SF: 7, BW: 500 frogeye_1005_3_4.jpeg
Missed Bytes: 0, First Time: 4.18776273727417, Final Time: 4.18776273727417, RSSI Avg: -59.05050505050505, SF: 7, BW: 500 frogeye_1005_4_4.jpeg
Missed Bytes: 0, First Time: 2.577666997909546, Final Time: 2.577666997909546, RSSI Avg: -66.0327868852459, SF: 7, BW: 500 frogeye_1005_5_1.jpeg
Missed Bytes: 64, First Time: 5.670344114303589, Final Time: 35.78233551979065, RSSI Avg: -54.1578947368421, SF: 7, BW: 500 frogeye_1005_3_4.jpeg
Missed Bytes: 0, First Time: 4.173398494720459, Final Time: 4.173398494720459, RSSI Avg: -58.56565656565657, SF: 7, BW: 500 frogeye_1005_4_4.jpeg
Missed Bytes: 0, First Time: 2.5712921619415283, Final Time: 2.5712921619415283, RSSI Avg: -65.39344262295081, SF: 7, BW: 500 frogeye_1005_5_1.jpeg
Missed Bytes: 0, First Time: 4.22855019569397, Final Time: 4.22855019569397, RSSI Avg: -57.69, SF: 7, BW: 500 frogeye_1005_5_3.jpeg
Missed Bytes: 0, First Time: 3.9277501106262207, Final Time: 3.9277501106262207, RSSI Avg: -59.17204301075269, SF: 7, BW: 500 frogeye_1005_5_4.jpeg
Missed Bytes: 0, First Time: 5.657840013504028, Final Time: 5.657840013504028, RSSI Avg: -56.58646616541353, SF: 7, BW: 500 frogeye_1005_3_4.jpeg
Missed Bytes: 0, First Time: 4.195449352264404, Final Time: 4.195449352264404, RSSI Avg: -59.707070707070706, SF: 7, BW: 500 frogeye_1005_4_4.jpeg
Missed Bytes: 0, First Time: 2.5841033458709717, Final Time: 2.5851011276245117, RSSI Avg: -67.50819672131148, SF: 7, BW: 500 frogeye_1005_5_1.jpeg
Missed Bytes: 0, First Time: 4.222376585006714, Final Time: 4.222376585006714, RSSI Avg: -60.13, SF: 7, BW: 500 frogeye_1005_5_3.jpeg
Missed Bytes: 0, First Time: 3.93220853805542, Final Time: 3.93220853805542, RSSI Avg: -60.763440860215056, SF: 7, BW: 500 frogeye_1005_5_4.jpeg
Missed Bytes: 64, First Time: 5.650330305099487, Final Time: 35.76578688621521, RSSI Avg: -54.87218045112782, SF: 7, BW: 500 frogeye_1005_3_4.jpeg
Missed Bytes: 0, First Time: 4.1720428466796875, Final Time: 4.181879997253418, RSSI Avg: -58.7979797979798, SF: 7, BW: 500 frogeye_1005_4_4.jpeg
Missed Bytes: 0, First Time: 2.589538812637329, Final Time: 2.5910940170288086, RSSI Avg: -66.31147540983606, SF: 7, BW: 500 frogeye_1005_5_1.jpeg
Missed Bytes: 0, First Time: 4.208792448043823, Final Time: 4.20979118347168, RSSI Avg: -60.53, SF: 7, BW: 500 frogeye_1005_5_3.jpeg
Missed Bytes: 0, First Time: 3.922063112258911, Final Time: 3.923062324523926, RSSI Avg: -59.46236559139785, SF: 7, BW: 500 frogeye_1005_5_4.jpeg
Missed Bytes: 0, First Time: 5.668898820877075, Final Time: 5.669902086257935, RSSI Avg: -55.3984962406015, SF: 7, BW: 500 frogeye_1005_3_4.jpeg
Missed Bytes: 0, First Time: 4.167315721511841, Final Time: 4.18363356590271, RSSI Avg: -58.04040404040404, SF: 7, BW: 500 frogeye_1005_4_4.jpeg
Missed Bytes: 0, First Time: 2.5799386501312256, Final Time: 2.5799386501312256, RSSI Avg: -65.42622950819673, SF: 7, BW: 500 frogeye_1005_5_1.jpeg
Missed Bytes: 0, First Time: 4.224522829055786, Final Time: 4.225589275360107, RSSI Avg: -58.63, SF: 7, BW: 500 frogeye_1005_5_3.jpeg
Missed Bytes: 0, First Time: 3.9209487438201904, Final Time: 3.921973943710327, RSSI Avg: -59.236559139784944, SF: 7, BW: 500 frogeye_1005_5_4.jpeg
Missed Bytes: 0, First Time: 5.636969089508057, Final Time: 5.637908697128296, RSSI Avg: -54.421052631578945, SF: 7, BW: 500 frogeye_1005_3_4.jpeg
Missed Bytes: 64, First Time: 4.169010162353516, Final Time: 34.29545283317566, RSSI Avg: -58.22222222222222, SF: 7, BW: 500 frogeye_1005_4_4.jpeg
Missed Bytes: 0, First Time: 5.63899302482605, Final Time: 5.648420810699463, RSSI Avg: -55.21804511278196, SF: 7, BW: 500 frogeye_1005_3_4.jpeg
Missed Bytes: 0, First Time: 4.1796557903289795, Final Time: 4.180798530578613, RSSI Avg: -57.63636363636363, SF: 7, BW: 500 frogeye_1005_4_4.jpeg
Missed Bytes: 0, First Time: 2.58117938041687, Final Time: 2.5821940898895264, RSSI Avg: -64.24590163934427, SF: 7, BW: 500 frogeye_1005_5_1.jpeg
Missed Bytes: 0, First Time: 4.226027727127075, Final Time: 4.226027727127075, RSSI Avg: -57.47, SF: 7, BW: 500 frogeye_1005_5_3.jpeg
Missed Bytes: 0, First Time: 3.929868459701538, Final Time: 3.9309380054473877, RSSI Avg: -57.8494623655914, SF: 7, BW: 500 frogeye_1005_5_4.jpeg
Missed Bytes: 0, First Time: 5.659705400466919, Final Time: 5.659705400466919, RSSI Avg: -54.05263157894737, SF: 7, BW: 500 frogeye_1005_3_4.jpeg
Missed Bytes: 0, First Time: 4.187270879745483, Final Time: 4.187270879745483, RSSI Avg: -56.44444444444444, SF: 7, BW: 500 frogeye_1005_4_4.jpeg
Missed Bytes: 0, First Time: 2.5822718143463135, Final Time: 2.583285331726074, RSSI Avg: -63.442622950819676, SF: 7, BW: 500 frogeye_1005_5_1.jpeg
Missed Bytes: 0, First Time: 4.227184057235718, Final Time: 4.227184057235718, RSSI Avg: -56.25, SF: 7, BW: 500 frogeye_1005_5_3.jpeg
Missed Bytes: 0, First Time: 3.9237215518951416, Final Time: 3.9237215518951416, RSSI Avg: -57.02150537634409, SF: 7, BW: 500 frogeye_1005_5_4.jpeg
Missed Bytes: 0, First Time: 5.6533753871917725, Final Time: 5.6533753871917725, RSSI Avg: -55.16541353383459, SF: 7, BW: 500 frogeye_1005_3_4.jpeg
Missed Bytes: 0, First Time: 5.667722225189209, Final Time: 5.668722867965698, RSSI Avg: -53.89473684210526, SF: 7, BW: 500 frogeye_1005_3_4.jpeg
Missed Bytes: 0, First Time: 4.188225030899048, Final Time: 4.189627647399902, RSSI Avg: -55.56565656565657, SF: 7, BW: 500 frogeye_1005_4_4.jpeg
Missed Bytes: 0, First Time: 2.5732555389404297, Final Time: 2.5732555389404297, RSSI Avg: -62.14754098360656, SF: 7, BW: 500 frogeye_1005_5_1.jpeg
Missed Bytes: 0, First Time: 4.221739768981934, Final Time: 4.221739768981934, RSSI Avg: -55.48, SF: 7, BW: 500 frogeye_1005_5_3.jpeg
Missed Bytes: 0, First Time: 3.937354803085327, Final Time: 3.937354803085327, RSSI Avg: -56.54838709677419, SF: 7, BW: 500 frogeye_1005_5_4.jpeg
Missed Bytes: 0, First Time: 5.65352201461792, Final Time: 5.65352201461792, RSSI Avg: -54.5187969924812, SF: 7, BW: 500 frogeye_1005_3_4.jpeg
Missed Bytes: 0, First Time: 4.185707092285156, Final Time: 4.185707092285156, RSSI Avg: -55.98989898989899, SF: 7, BW: 500 frogeye_1005_4_4.jpeg
Missed Bytes: 0, First Time: 2.5845909118652344, Final Time: 2.5861151218414307, RSSI Avg: -61.85245901639344, SF: 7, BW: 500 frogeye_1005_5_1.jpeg
Missed Bytes: 0, First Time: 4.218466281890869, Final Time: 4.2194664478302, RSSI Avg: -55.28, SF: 7, BW: 500 frogeye_1005_5_3.jpeg
Missed Bytes: 0, First Time: 3.9401464462280273, Final Time: 3.941145420074463, RSSI Avg: -56.60215053763441, SF: 7, BW: 500 frogeye_1005_5_4.jpeg
Missed Bytes: 0, First Time: 5.651895523071289, Final Time: 5.652811765670776, RSSI Avg: -52.08270676691729, SF: 7, BW: 500 frogeye_1005_3_4.jpeg
Missed Bytes: 0, First Time: 4.192402362823486, Final Time: 4.192402362823486, RSSI Avg: -54.13131313131313, SF: 7, BW: 500 frogeye_1005_4_4.jpeg
Missed Bytes: 0, First Time: 2.579160213470459, Final Time: 2.579160213470459, RSSI Avg: -61.32786885245902, SF: 7, BW: 500 frogeye_1005_5_1.jpeg
Missed Bytes: 0, First Time: 4.220077276229858, Final Time: 4.220693349838257, RSSI Avg: -54.71, SF: 7, BW: 500 frogeye_1005_5_3.jpeg
Missed Bytes: 0, First Time: 3.950141668319702, Final Time: 3.951141357421875, RSSI Avg: -55.46236559139785, SF: 7, BW: 500 frogeye_1005_5_4.jpeg
Missed Bytes: 0, First Time: 5.621350049972534, Final Time: 5.622360706329346, RSSI Avg: -51.91729323308271, SF: 7, BW: 500 frogeye_1005_3_4.jpeg
Missed Bytes: 0, First Time: 4.184493780136108, Final Time: 4.185495138168335, RSSI Avg: -57.83838383838384, SF: 7, BW: 500 frogeye_1005_4_4.jpeg
Missed Bytes: 0, First Time: 2.5719521045684814, Final Time: 2.5719521045684814, RSSI Avg: -63.557377049180324, SF: 7, BW: 500 frogeye_1005_5_1.jpeg
Missed Bytes: 0, First Time: 4.219980716705322, Final Time: 4.219980716705322, RSSI Avg: -55.81, SF: 7, BW: 500 frogeye_1005_5_3.jpeg
Missed Bytes: 0, First Time: 3.929962635040283, Final Time: 3.9311628341674805, RSSI Avg: -57.27956989247312, SF: 7, BW: 500 frogeye_1005_5_4.jpeg
Missed Bytes: 0, First Time: 5.624489784240723, Final Time: 5.625239133834839, RSSI Avg: -53.61654135338346, SF: 7, BW: 500 frogeye_1005_3_4.jpeg
Missed Bytes: 0, First Time: 4.170604228973389, Final Time: 4.170604228973389, RSSI Avg: -56.42424242424242, SF: 7, BW: 500 frogeye_1005_4_4.jpeg
Missed Bytes: 0, First Time: 2.5804550647735596, Final Time: 2.581472396850586, RSSI Avg: -63.26229508196721, SF: 7, BW: 500 frogeye_1005_5_1.jpeg
Missed Bytes: 0, First Time: 4.223931550979614, Final Time: 4.223931550979614, RSSI Avg: -56.38, SF: 7, BW: 500 frogeye_1005_5_3.jpeg
Missed Bytes: 0, First Time: 5.6588215827941895, Final Time: 5.6598217487335205, RSSI Avg: -53.48872180451128, SF: 7, BW: 500 frogeye_1005_3_4.jpeg
Missed Bytes: 64, First Time: 4.173051834106445, Final Time: 34.28013229370117, RSSI Avg: -56.707070707070706, SF: 7, BW: 500 frogeye_1005_4_4.jpeg
Missed Bytes: 0, First Time: 2.582453966140747, Final Time: 2.583369016647339, RSSI Avg: -63.19672131147541, SF: 7, BW: 500 frogeye_1005_5_1.jpeg
Missed Bytes: 0, First Time: 4.210186243057251, Final Time: 4.210186243057251, RSSI Avg: -56.51, SF: 7, BW: 500 frogeye_1005_5_3.jpeg
Missed Bytes: 0, First Time: 3.9347782135009766, Final Time: 3.935791492462158, RSSI Avg: -57.064516129032256, SF: 7, BW: 500 frogeye_1005_5_4.jpeg
